specimen;species;biogeo;land;habitat_broad;habitat;SVL;TrL;HL;HW;HH;Lhu;Lun;Lfe;Ltb
S6132;Pristurus_rupestris;Arabia;mainland;rock;rock;27.01;9.74;7.04;5.01;3.82;4.4;4.21;6;6.81
S7158;Pristurus_rupestris;Arabia;mainland;rock;rock;25.18;10.39;6.34;4.52;3.94;4.32;3.78;5.05;6.45
S7159;Pristurus_rupestris;Arabia;mainland;rock;rock;22.41;8.8;5.84;4.58;3.25;3.56;4.24;5.38;5.26
S7196;Pristurus_rupestris;Arabia;mainland;rock;rock;24.19;10.45;6.07;4.34;3.28;4.62;4.27;5.33;4.94
S7209;Pristurus_rupestris;Arabia;mainland;rock;rock;23.9;9.42;5.92;4.28;3.1;3.52;4.13;4.98;5.08
S7233;Pristurus_rupestris;Arabia;mainland;rock;rock;26.44;11.35;6.4;4.74;3.22;3.48;4.27;5.29;6.04
S7249;Pristurus_rupestris;Arabia;mainland;rock;rock;23.71;9.64;5.98;4.46;2.74;4.11;4.35;5.13;5.05
S7251;Pristurus_rupestris;Arabia;mainland;rock;rock;24.52;9.85;6.3;3.94;2.99;3.36;4.77;5.47;5.13
S7255;Pristurus_rupestris;Arabia;mainland;rock;rock;21.5;7.88;5.51;3.95;2.87;2.96;3.69;4.88;4.89
S7433;Pristurus_rupestris;Arabia;mainland;rock;rock;24.37;10.09;5.96;4.29;2.97;3.48;4.11;4.75;5.98
S7440;Pristurus_rupestris;Arabia;mainland;rock;rock;26.33;9.45;6.11;4.52;3.33;4.42;4.41;4.96;5.81
S7461;Pristurus_rupestris;Arabia;mainland;rock;rock;25.88;11.19;6.46;4.88;3.45;3.68;4.86;4.1;6.24
S7462;Pristurus_rupestris;Arabia;mainland;rock;rock;25.21;10.76;6.78;4.92;3.86;4.84;4.79;5.41;6.02
CN127;Pristurus_sp2;Arabia;mainland;rock;rock;24.28;9;6.21;4.51;3.46;3.02;3.89;4.92;5.35
CN175;Pristurus_sp2;Arabia;mainland;rock;rock;25.72;10.4;6.89;4.86;3.75;3.8;4.52;5.49;6.28
CN3480;Pristurus_sp2;Arabia;mainland;rock;rock;25.57;11.07;6.66;4.88;3.7;3.41;3.63;4.73;5.37
CN3491;Pristurus_sp2;Arabia;mainland;rock;rock;25.11;10.31;6.72;5.24;3.56;3.17;4.89;4.98;5.32
CN3507;Pristurus_sp2;Arabia;mainland;rock;rock;26.86;10.46;7.04;5.29;3.74;3.72;4.6;5.42;6.04
CN3737;Pristurus_sp2;Arabia;mainland;rock;rock;25.46;10.22;6.62;4.79;3.61;3.69;4.46;5.62;5.34
CN4165;Pristurus_sp2;Arabia;mainland;rock;rock;25.51;9.78;6.55;4.52;3.41;3.52;4.34;4.73;5.83
CN4188;Pristurus_sp2;Arabia;mainland;rock;rock;26.4;11.16;7.02;5.03;3.61;3.83;4.55;5.18;5.97
CN6980;Pristurus_sp2;Arabia;mainland;rock;rock;26.08;10.68;6.9;5.09;3.66;3.42;4.64;5.41;6.27
CN7096;Pristurus_sp2;Arabia;mainland;rock;rock;23.22;9.98;6.15;4.43;3.27;3.67;4.41;4.93;5.19
CN7112;Pristurus_sp2;Arabia;mainland;rock;rock;25.8;11.06;6.71;4.63;3.7;3.77;4.15;5.23;5.87
CN7168;Pristurus_sp2;Arabia;mainland;rock;rock;25.35;11.29;6.63;4.76;3.53;3.8;4.01;5.33;5.04
CN7181;Pristurus_sp2;Arabia;mainland;rock;rock;23.99;9.68;6.07;4.62;3.45;3.71;4.27;5.04;5.16
CN7212;Pristurus_sp2;Arabia;mainland;rock;rock;26.87;11.04;6.67;4.79;3.58;3.61;4.43;5.27;5.79
CN7215;Pristurus_sp2;Arabia;mainland;rock;rock;25.03;10.58;6.67;4.55;3.52;3.69;4.32;4.93;5.8
CN7269;Pristurus_sp2;Arabia;mainland;rock;rock;23.45;8.74;6.35;4.34;3.35;3.47;3.99;4.68;4.89
CN7960;Pristurus_sp2;Arabia;mainland;rock;rock;25.29;10.92;6.63;4.96;3.63;3.97;4.44;5.47;5.58
CN8286;Pristurus_sp2;Arabia;mainland;rock;rock;24.54;10.37;6.72;4.9;3.58;3.74;4.52;5.45;6.07
S7185;Pristurus_sp2;Arabia;mainland;rock;rock;23.87;10.03;6.67;4.83;4.1;4.81;4.43;4.45;6.3
S7198;Pristurus_sp2;Arabia;mainland;rock;rock;25.91;10.96;6.44;4.81;3.39;3.8;4.27;4.91;5.19
S7201;Pristurus_sp2;Arabia;mainland;rock;rock;24.92;10.05;6.47;4.77;3.45;3.86;4.69;5.6;5.63
S7203;Pristurus_sp2;Arabia;mainland;rock;rock;23.82;8.55;6.51;4.78;3.92;3.8;4.22;5.33;5.59
S7216;Pristurus_sp2;Arabia;mainland;rock;rock;24.44;9.03;6.78;4.97;3.52;3.33;4.46;5.53;5.44
S7231;Pristurus_sp2;Arabia;mainland;rock;rock;25.68;11.19;6.48;5.17;3.94;4.16;4.09;5.83;6.17
S7259;Pristurus_sp2;Arabia;mainland;rock;rock;24.34;9.52;6.31;4.79;3.44;3.86;4.72;5.79;5.57
S7264;Pristurus_sp2;Arabia;mainland;rock;rock;26.14;10.4;6.57;4.9;3.41;3.57;4.14;5.68;5.51
S7486;Pristurus_sp2;Arabia;mainland;rock;rock;25.09;9.4;6.32;4.56;3.23;3.45;4.42;5.39;5.61
S7507;Pristurus_sp2;Arabia;mainland;rock;rock;25.61;10.09;6.45;4.74;3.41;3.26;4.43;5.54;5.49
S7510;Pristurus_sp2;Arabia;mainland;rock;rock;25.38;10.01;6.19;4.31;3.07;3.42;4.44;5.17;5.03
S7511;Pristurus_sp2;Arabia;mainland;rock;rock;24.92;9.32;6.58;4.8;3.4;3.35;4.64;6.36;5.43
S7529;Pristurus_sp2;Arabia;mainland;rock;rock;25.4;10.4;6.73;5.6;3.58;3.53;4.65;6.19;6.23
S7531;Pristurus_sp2;Arabia;mainland;rock;rock;24.66;9.66;6.7;5.52;3.45;3.74;4.48;5.45;5.68
S7539;Pristurus_sp2;Arabia;mainland;rock;rock;25.41;10.14;6.69;4.91;3.32;4.23;3.91;4.97;5.29
S7547;Pristurus_sp2;Arabia;mainland;rock;rock;24.79;8.46;6.69;4.6;3.45;3.85;4.4;6.27;5.77
S7556;Pristurus_sp2;Arabia;mainland;rock;rock;25.55;10.09;6.68;4.97;3.37;3.39;4.98;5.83;5.78
S7560;Pristurus_sp2;Arabia;mainland;rock;rock;24.83;8.72;6.72;4.75;3.17;3.62;3.7;5.68;5.29
S7570;Pristurus_sp2;Arabia;mainland;rock;rock;22.97;8.98;6.33;4.77;3.35;3.35;4.08;5.08;5.64
CN159;Pristurus_sp5;Arabia;mainland;rock;rock;22.73;7.6;6.05;4.25;3.32;3.41;3.96;4.52;5.25
CN3588;Pristurus_sp5;Arabia;mainland;rock;rock;19.96;7.54;5.47;3.93;3.09;3.22;3.69;4.15;5.18
CN7971;Pristurus_sp5;Arabia;mainland;rock;rock;21.41;8.26;5.85;3.99;3.03;3.23;3.84;4.71;5.06
CN8037;Pristurus_sp5;Arabia;mainland;rock;rock;21.06;8.64;5.66;3.9;2.98;3.3;3.73;4.36;4.52
CN8965;Pristurus_sp5;Arabia;mainland;rock;rock;21.87;8.82;5.76;4.03;3.21;3.55;3.71;4.57;4.87
S7508;Pristurus_sp5;Arabia;mainland;rock;rock;22.93;9.06;5.68;4.11;2.99;3.58;3.66;5.5;5.17
S7577;Pristurus_sp5;Arabia;mainland;rock;rock;22.02;8.32;6;4.01;3.21;3.5;4.03;5.01;4.88
S8000;Pristurus_sp5;Arabia;mainland;rock;rock;22.35;10.11;5.8;4.32;3.34;3.28;4.85;5.42;5.21
CN145;Pristurus_sp5;Arabia;mainland;rock;rock;23.1;10.15;5.64;3.87;3.17;3.26;3.83;4.6;5.06
CN4023;Pristurus_sp5;Arabia;mainland;rock;rock;23.68;9.9;6.01;4.3;3.41;3.62;3.88;5.11;5.46
S1645;Pristurus_sp5;Arabia;mainland;rock;rock;23.63;9.46;5.84;4.09;2.76;3.33;3.86;5.15;5.02
S1891;Pristurus_sp5;Arabia;mainland;rock;rock;24;9.5;6.22;4.32;2.98;3.51;4.93;5.75;4.61
S7276;Pristurus_sp5;Arabia;mainland;rock;rock;24.86;9.73;6.1;4.23;3.22;4.82;4.06;5.42;5.91
S7437;Pristurus_sp5;Arabia;mainland;rock;rock;22.27;8.57;5.77;4.07;2.92;2.86;3.82;4.82;5.2
S7541;Pristurus_sp5;Arabia;mainland;rock;rock;25.79;9.04;6.86;4.7;3.25;5.16;5.81;6.23;5.86
S7865;Pristurus_sp5;Arabia;mainland;rock;rock;23.16;10.11;6.26;4.72;3.75;4.03;3.61;5.25;4.96
S9012;Pristurus_sp5;Arabia;mainland;rock;rock;23.2;9.19;6.54;4.3;3.24;3.66;4.44;5.04;5.68
S9013;Pristurus_sp5;Arabia;mainland;rock;rock;23.23;8.58;6.14;4.3;3.23;3.85;3.8;5.31;5.38
1121;Pristurus_samhaensis;Sokotra;island;rock;rock;31.72;12.78;9.27;5.86;4.74;4.39;5.32;6.65;6.6
1123;Pristurus_samhaensis;Sokotra;island;rock;rock;32.47;13.5;9.31;5.91;4.88;4.84;5.06;7.18;7.25
1127;Pristurus_samhaensis;Sokotra;island;rock;rock;28.47;11.99;8.5;4.85;4.74;4.4;5.8;5.77;7.51
1128;Pristurus_samhaensis;Sokotra;island;rock;rock;28.88;11.98;8.59;5.3;4.76;4.41;5.31;6.87;7.39
1132;Pristurus_samhaensis;Sokotra;island;rock;rock;31.66;14.06;9.17;5.18;4.28;4.67;5.36;6.55;7.44
R-1531;Pristurus_samhaensis;Sokotra;island;rock;rock;32.21;13.83;8.43;5.66;4.43;5.16;5.61;6.59;7.23
R-1532-1;Pristurus_samhaensis;Sokotra;island;rock;rock;36.22;16.06;9.63;6.42;5;6.43;6.5;7.25;7.34
R-1532-2;Pristurus_samhaensis;Sokotra;island;rock;rock;31.9;14.32;8.66;5.41;4.12;4.71;5.74;6.33;7.26
R-1535-1;Pristurus_samhaensis;Sokotra;island;rock;rock;31.06;13.72;7.78;5.22;3.97;5.12;5.29;6.36;6.56
R-1536-1;Pristurus_samhaensis;Sokotra;island;rock;rock;30.75;13.09;7.82;5.14;4.24;4.93;5.83;7.17;6.99
R-1542;Pristurus_samhaensis;Sokotra;island;rock;rock;29.94;13.79;7.43;5.67;4.7;5.13;5.51;6.69;6.6
R-1595-1;Pristurus_samhaensis;Sokotra;island;rock;rock;38.27;17.86;9.9;5.89;4.47;6.7;6.78;7.5;8.51
R-1595-10;Pristurus_samhaensis;Sokotra;island;rock;rock;34.38;15.23;8.71;5.38;4.16;6.23;6.04;7.68;7.89
R-1595-11;Pristurus_samhaensis;Sokotra;island;rock;rock;34.79;14.68;8.82;5.71;4.52;6.23;6.44;8.42;8.42
R-1595-12;Pristurus_samhaensis;Sokotra;island;rock;rock;33.81;14.88;8.75;5;4.29;6.11;5.86;8.05;8.26
R-1595-13;Pristurus_samhaensis;Sokotra;island;rock;rock;33.35;15.26;8.66;5.33;4.62;5.6;6.29;7.55;7.22
R-1595-14;Pristurus_samhaensis;Sokotra;island;rock;rock;33.19;14.73;7.38;4.99;4.51;5.16;5.99;7.51;8.35
R-1595-15;Pristurus_samhaensis;Sokotra;island;rock;rock;33.91;14.18;8.73;5.12;4.25;6.14;6.1;8.14;8.42
R-1595-2;Pristurus_samhaensis;Sokotra;island;rock;rock;35.07;16.12;9.38;5.36;4.51;6.42;6.43;7.67;8.29
R-1595-3;Pristurus_samhaensis;Sokotra;island;rock;rock;32.93;13.48;8.24;5.1;4.41;6.29;6.05;8.43;8.34
R-1595-4;Pristurus_samhaensis;Sokotra;island;rock;rock;34.8;14.95;8.65;5.31;4.43;6.65;6.3;9.13;8.49
R-1595-5;Pristurus_samhaensis;Sokotra;island;rock;rock;33.45;13.67;8.54;5.16;4.18;5.95;6.25;7.91;7.76
R-1595-6;Pristurus_samhaensis;Sokotra;island;rock;rock;34.62;15.92;9.06;5.09;4.03;6.99;6.57;7.96;8.32
R-1595-7;Pristurus_samhaensis;Sokotra;island;rock;rock;31.87;15.1;8.33;5.15;4.31;6.17;5.88;7.63;8.39
R-1595-8;Pristurus_samhaensis;Sokotra;island;rock;rock;36.44;15.46;9.53;5.73;4.81;5.63;6.41;7.92;8.75
R-1595-9;Pristurus_samhaensis;Sokotra;island;rock;rock;37.73;15.92;9.61;5.7;4.97;6.79;6.82;7.71;9.22
R-1596-1;Pristurus_samhaensis;Sokotra;island;rock;rock;33.57;14.25;8.69;5.48;4.24;6;6.36;7.24;8.59
R-1596-2;Pristurus_samhaensis;Sokotra;island;rock;rock;36.71;15.39;9.2;5.8;4.89;6.36;6.77;8.01;8.96
R-1596-3;Pristurus_samhaensis;Sokotra;island;rock;rock;35.41;15.38;8.49;5.55;4.77;6.87;6.77;8.46;8.71
R-1596-4;Pristurus_samhaensis;Sokotra;island;rock;rock;34.66;14.79;8.49;5.31;4.48;6;6.67;7.92;8.3
R-1596-5;Pristurus_samhaensis;Sokotra;island;rock;rock;35.27;14.72;8.86;5.87;4.72;6.11;6.81;8.26;8.84
1120;Pristurus_sokotranus;Sokotra;island;rock;rock;30.4;12.93;8.34;4.82;3.96;4.14;5.22;6.21;6.59
1124;Pristurus_sokotranus;Sokotra;island;rock;rock;31.88;11.76;9.06;5.6;4.62;4.57;5.38;6.02;7.04
1125;Pristurus_sokotranus;Sokotra;island;rock;rock;35.36;14.99;9.73;6.33;5.52;4.94;6.03;6.61;7.68
1133;Pristurus_sokotranus;Sokotra;island;rock;rock;34.19;15.27;9.58;5.79;4.82;4.17;6.35;6.5;6.5
1134;Pristurus_sokotranus;Sokotra;island;rock;rock;34.09;13.7;9.58;5.57;4.62;4.35;6.39;6.49;7.28
1135;Pristurus_sokotranus;Sokotra;island;rock;rock;34.47;14.35;10.08;6;4.85;4.96;7.01;7.65;7.76
1136;Pristurus_sokotranus;Sokotra;island;rock;rock;38.17;14.17;11.08;6.95;5.4;5.63;6.6;6.91;8.29
BM1946.8.20.14;Pristurus_sokotranus;Sokotra;island;rock;rock;30.3;13.09;8.01;5.47;4.23;4.66;5.03;6.17;6.93
BM1946.8.20.16;Pristurus_sokotranus;Sokotra;island;rock;rock;32.52;14.76;8.01;5.44;4.48;4.18;5.45;6.89;7.28
BM1946.8.20.17;Pristurus_sokotranus;Sokotra;island;rock;rock;34.4;14.23;9.03;6.13;4.99;4.52;5.97;6.71;7.66
BM1946.8.20.18;Pristurus_sokotranus;Sokotra;island;rock;rock;35.11;14.95;8.95;5.83;4.7;5.08;6.17;7.13;8.18
BM1946.8.20.21;Pristurus_sokotranus;Sokotra;island;rock;rock;38.63;15.61;9.4;6.61;5.12;5.08;6.63;7.88;8.8
BM1946.8.20.24;Pristurus_sokotranus;Sokotra;island;rock;rock;35.64;14.51;9.28;6.06;4.84;4.92;5.99;7.91;8.44
BM1946.8.20.25;Pristurus_sokotranus;Sokotra;island;rock;rock;33.06;14.46;8.27;5.47;4.63;4.63;5.43;6.26;7.37
BM1946.8.20.26;Pristurus_sokotranus;Sokotra;island;rock;rock;30.14;12.31;7.91;5.64;4.46;4.38;4.73;6.63;6.94
BM1946.8.20.27;Pristurus_sokotranus;Sokotra;island;rock;rock;34.73;15.98;8.61;5.93;4.73;5.07;5.6;6.56;7.38
BM1946.8.20.5;Pristurus_sokotranus;Sokotra;island;rock;rock;37.17;17.34;9.45;5.96;5.04;5.24;6.17;7.8;8.41
BM1946.8.20.7;Pristurus_sokotranus;Sokotra;island;rock;rock;39.01;16.07;10.25;6.56;5.66;5.23;6.69;8.24;8.85
BM1946.8.20.8;Pristurus_sokotranus;Sokotra;island;rock;rock;32.48;14.53;8.6;5.55;4.46;4.53;5.04;7.01;7.41
BM1946.8.24.98;Pristurus_sokotranus;Sokotra;island;rock;rock;36.85;15.52;9.16;5.99;4.97;4.81;6.12;7.02;8.24
BM1953.1.7.175;Pristurus_sokotranus;Sokotra;island;rock;rock;31.8;13.8;8.1;5.46;4.13;4.59;5.43;6.55;7.14
BM1953.1.7.177;Pristurus_sokotranus;Sokotra;island;rock;rock;32.96;13.76;8.73;5.58;4.47;4.73;5.11;6.96;7.43
BM1953.1.7.178;Pristurus_sokotranus;Sokotra;island;rock;rock;34.45;15.74;8.54;6.08;4.52;5.04;5.91;7.16;7.79
BM1953.1.7.179;Pristurus_sokotranus;Sokotra;island;rock;rock;33.67;14.41;8.48;5.41;4.32;5.1;5.44;6.8;7.04
BM1965.1442;Pristurus_sokotranus;Sokotra;island;rock;rock;35.46;14.98;9.29;6.26;4.82;5.16;6.41;6.98;7.89
BM1965.1443;Pristurus_sokotranus;Sokotra;island;rock;rock;32.77;13.5;8.68;5.71;4.37;4.45;5.51;6.61;7.78
BM1965.1444;Pristurus_sokotranus;Sokotra;island;rock;rock;32.93;13.92;8.63;5.82;4.56;4.97;5.47;6.01;7
BM1965.1447;Pristurus_sokotranus;Sokotra;island;rock;rock;31.71;13.28;8.06;5.36;4.16;4.43;4.99;6.17;7.26
BM1967.503;Pristurus_sokotranus;Sokotra;island;rock;rock;36.42;16.73;9.09;6.21;5.22;4.21;5.59;7.01;7.53
BM1967.504;Pristurus_sokotranus;Sokotra;island;rock;rock;34.55;13.8;8.96;5.88;4.88;4.21;5.8;6.48;7.66
BM1967.505;Pristurus_sokotranus;Sokotra;island;rock;rock;33.35;14.46;8.7;5.72;4.66;4.61;5.74;7.46;8.42
BM1967.506;Pristurus_sokotranus;Sokotra;island;rock;rock;35.12;14.16;9.02;6.15;5.08;4.14;5.98;7.23;7.77
R-1436;Pristurus_sokotranus;Sokotra;island;rock;rock;35.9;14.97;9.39;5.9;4.43;5.64;6.5;7.52;8.41
R-1529-1;Pristurus_sokotranus;Sokotra;island;rock;rock;33.35;13.37;8.5;6.29;4.65;5.73;6.84;7.15;7.09
R-1529-2;Pristurus_sokotranus;Sokotra;island;rock;rock;34.24;14.84;8.88;6.14;4.27;5.44;5.8;7.18;7.12
R-1530;Pristurus_sokotranus;Sokotra;island;rock;rock;34.61;14.58;8.87;5.82;4.72;5.66;6.03;6.51;7.09
R-1533-1;Pristurus_sokotranus;Sokotra;island;rock;rock;32.81;14.09;8.04;5.47;4.32;5.63;6.33;6.8;7.35
R-1533-2;Pristurus_sokotranus;Sokotra;island;rock;rock;30.33;13.96;8.17;5.26;3.85;5.13;5.6;6.14;6.83
R-1538-1;Pristurus_sokotranus;Sokotra;island;rock;rock;36.68;14.66;9.99;5.98;4.43;5.64;6.08;7.32;7.83
R-1538-2;Pristurus_sokotranus;Sokotra;island;rock;rock;33.51;15.48;8.11;5.75;4.32;5.37;5.71;6.75;6.5
R-1538-3;Pristurus_sokotranus;Sokotra;island;rock;rock;35.32;15.44;8.29;5.8;5.11;6.12;5.93;6.61;7.3
R-1538-4;Pristurus_sokotranus;Sokotra;island;rock;rock;37.15;16.8;9.37;6.24;4.74;5.81;6.02;6.71;7.8
S5500;Pristurus_sokotranus;Sokotra;island;rock;rock;30.62;13.84;8.02;5.13;4.14;4.38;5.43;5.87;7.1
S5506;Pristurus_sokotranus;Sokotra;island;rock;rock;38.23;17.1;9.45;6.56;4.89;5.41;6.71;8.76;8.96
S5509;Pristurus_sokotranus;Sokotra;island;rock;rock;36.11;14.79;9.35;5.87;4.35;4.79;5.71;7.11;7.62
BM1931.7.20.242;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.15;11.55;7.72;5.09;4.24;4.84;5.36;6.13;7.09
BM1931.7.20.243;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.57;11.46;7.77;5.34;4.25;5.06;5.15;6.15;7.25
BM1931.7.20.244;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.73;11.42;7.55;5.45;4.01;5;5.45;6.74;7.37
BM1931.7.20.245;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.19;11.75;8.06;5.7;4.44;5.25;5.5;6.88;7.4
BM1931.8.1.121;Pristurus_somalicus;Africa;mainland;ground;soft-ground;23.35;9.44;6.54;4.51;3.84;4.44;4.89;5.15;6.6
BM1931.8.1.122;Pristurus_somalicus;Africa;mainland;ground;soft-ground;24.9;10.69;6.7;4.42;3.94;4.75;5.08;5.75;6.66
BM1931.8.1.123;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.39;10.25;6.9;4.97;3.91;4.88;5.12;5.8;6.92
BM1931.8.1.124;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.79;10.76;7.09;4.85;4.03;5.25;5.39;5.95;7.12
BM1937.12.5.189;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.14;10.78;6.98;4.74;3.93;5.01;5.3;5.65;6.79
BM1946.8.20.29;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.71;13.6;7.62;5.58;4.39;4.26;5.23;6.68;7.15
BM1946.8.24.55;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.09;12.15;7.36;5.61;4.44;4.25;5.05;6.54;7.47
BM1946.8.24.57;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.03;11.35;7.57;5.99;4.33;4.3;4.9;6.15;6.91
BM1946.8.24.62;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.54;12.62;7.44;5.93;4.48;4.28;5.54;6.95;8.11
BM1946.8.24.63;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.74;13.18;7.61;5.94;4.65;4.41;5.6;6.99;7.94
BM1946.8.24.64;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.76;11.24;7.09;5.35;4.48;4.89;5.06;6.35;7.4
BM1946.8.24.65;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.91;13.45;7.41;5.49;4.32;4.33;5.28;6.51;7.55
BM1946.8.24.67;Pristurus_somalicus;Africa;mainland;ground;soft-ground;31.23;13.93;7.48;5.96;4.44;4.13;5.03;7.05;7.23
BM1946.8.24.68;Pristurus_somalicus;Africa;mainland;ground;soft-ground;31.42;14.02;7.8;6.03;4.44;4.21;5.23;6.65;7.81
BM1946.8.24.69;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.74;12.57;8.05;6.32;4.42;4.59;5.21;6.87;7.16
BM1946.8.24.70;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.16;11.47;7.01;5.03;3.99;4.12;4.65;5.86;6.78
BM1946.8.24.72;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.71;13.49;7.55;5.68;4.4;4.29;5.11;6.26;7.39
BM1946.8.24.76;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.87;11.12;7.04;4.95;3.74;4.79;4.87;6.16;7.09
BM1946.8.24.77;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.2;11.77;7.2;5.69;3.93;4.37;5.7;6.99;7.15
BM1946.8.24.78;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.95;11.53;7.04;5.45;4.27;4.72;5.24;6.35;7.87
BM1946.8.24.79;Pristurus_somalicus;Africa;mainland;ground;soft-ground;31.1;12.73;7.63;5.78;4.7;4.65;5.8;6.76;7.11
BM1946.8.24.82;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.78;11.68;7.12;5.26;4.16;4.34;4.85;5.95;7.51
BM1946.8.24.85;Pristurus_somalicus;Africa;mainland;ground;soft-ground;27.82;11.58;8.21;5.79;4.51;4.19;5.25;6.65;7.9
BM1946.8.24.86;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.01;11.39;7.58;4.96;3.96;3.49;4.85;5.56;7.07
BM1946.8.24.87;Pristurus_somalicus;Africa;mainland;ground;soft-ground;26.44;11.99;6.9;5.01;3.95;4.18;4.48;6.4;6.96
BM1946.8.24.89;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.56;12.54;7.74;5.91;4.56;3.78;4.99;6.07;7.24
BM91.11.11.3;Pristurus_somalicus;Africa;mainland;ground;soft-ground;30.92;11.82;8.59;5.85;4.29;5.39;5.85;6.88;7.69
BM95.6.14.1;Pristurus_somalicus;Africa;mainland;ground;soft-ground;29.3;11.75;7.85;5.64;4.27;5.05;5.32;6.43;7.49
BM95.6.14.2;Pristurus_somalicus;Africa;mainland;ground;soft-ground;28.47;11.54;7.88;5.83;4.35;4.96;5.58;6.71;7.84
CN164;Pristurus_sp1;Arabia;mainland;rock;rock;25.46;9.97;6.43;4.6;3.29;3.76;4.38;5.31;5.82
CN8068;Pristurus_sp1;Arabia;mainland;rock;rock;24.09;10.23;6.33;4.99;3.38;3.88;4.14;5.42;5.53
CN8099;Pristurus_sp1;Arabia;mainland;rock;rock;28.07;11.63;7.19;5.4;3.75;4.19;4.83;6.11;6.63
CN8580;Pristurus_sp1;Arabia;mainland;rock;rock;29.15;12.45;7.21;5.57;4.08;4.61;4.94;6.18;6.64
CN8659;Pristurus_sp1;Arabia;mainland;rock;rock;24.74;10.16;6.36;4.73;3.5;3.71;3.91;5.37;5.46
JEM1;Pristurus_sp1;Arabia;mainland;rock;rock;26.23;12.31;6.54;5.22;3.88;3.62;3.98;5.18;5.31
JEM171;Pristurus_sp1;Arabia;mainland;rock;rock;24.32;10.18;6.01;4.66;3.41;3.38;3.88;5.03;4.88
JEM172;Pristurus_sp1;Arabia;mainland;rock;rock;24.95;11.61;5.87;4.82;3.31;3.54;3.76;4.7;4.88
JEM174;Pristurus_sp1;Arabia;mainland;rock;rock;21.96;9.04;5.56;4.34;3.18;3.12;3.48;4.43;4.67
JEM193;Pristurus_sp1;Arabia;mainland;rock;rock;21.83;9.28;5.55;4.18;3.29;2.99;3.18;4.01;4.2
JEM194;Pristurus_sp1;Arabia;mainland;rock;rock;21.41;9.21;5.46;4.14;3.21;3.23;3.36;4.19;4.41
JEM2;Pristurus_sp1;Arabia;mainland;rock;rock;25.05;10.43;6.46;5.08;3.74;3.57;3.67;5.77;5.68
JEM20;Pristurus_sp1;Arabia;mainland;rock;rock;27.22;11.88;6.73;5.62;4.05;4.01;4.17;5.27;5.19
JEM21;Pristurus_sp1;Arabia;mainland;rock;rock;24.43;10.19;6.18;4.69;3.49;3.53;3.71;4.66;4.97
JEM217;Pristurus_sp1;Arabia;mainland;rock;rock;23.37;10.25;5.74;4.49;3.39;3.04;3.51;4.21;4.47
JEM218;Pristurus_sp1;Arabia;mainland;rock;rock;20.09;7.83;5.34;4.08;3.28;3.03;3.24;3.79;4.08
JEM219;Pristurus_sp1;Arabia;mainland;rock;rock;20.67;7.94;5.21;4.06;3.23;2.74;3.14;4.09;4.24
JEM243;Pristurus_sp1;Arabia;mainland;rock;rock;21.73;8.77;5.33;4.21;2.89;2.92;3.27;4.16;4.41
JEM245;Pristurus_sp1;Arabia;mainland;rock;rock;20.22;8.11;5.54;4.29;3.33;2.96;3.29;4.19;4.46
JEM286;Pristurus_sp1;Arabia;mainland;rock;rock;26.24;11.45;6.44;4.98;3.78;4.07;4.34;5.06;5.49
JEM3;Pristurus_sp1;Arabia;mainland;rock;rock;25.74;11.11;6.04;4.89;3.62;3.41;3.86;4.94;5.06
JEM300;Pristurus_sp1;Arabia;mainland;rock;rock;26.94;11.84;6.65;5.27;3.77;3.97;4.14;5.21;5.33
JEM305;Pristurus_sp1;Arabia;mainland;rock;rock;19.87;8.46;5.31;4.12;2.96;2.73;3;3.56;3.98
JEM306;Pristurus_sp1;Arabia;mainland;rock;rock;25.32;10.31;6.59;5.01;3.58;3.97;4.52;5.72;6.19
JEM36;Pristurus_sp1;Arabia;mainland;rock;rock;25.63;10.97;6.14;4.63;3.51;3.54;4.31;5.14;5.68
JEM454;Pristurus_sp1;Arabia;mainland;rock;rock;26.19;11.46;6.44;5.14;3.82;3.99;4.14;5.19;5.32
JEM455;Pristurus_sp1;Arabia;mainland;rock;rock;26.28;11.52;6.7;5.16;3.88;4.06;4.31;5.31;5.61
